,declara,fin_declara,dato,opdec,numerico,cadena,",",id,[,num,],comienza,termina,funciones,fin_funciones,;,funcion,(,),fin_funcion,mientras,fin_mientras,si,entonces,otro_caso,fin_si,repite,hasta,lee,asig,escribe,escribe_ret,o,y,no,=,dif,mai,mei,>,<,+,-,*,/,div,mod,abs,cad,fin,PROGP,PROG,SDAT,LDATOS,DEC,TIPO,LV,VAR,PPAL,SFUN,LFUN,BLQ,FUN,PRM,INST,W,IF,REP,LEE,VARL,ASIG,VASIG,ESC,K,L,N,E,T,F,NFUN,ARGS
59, , , , , , ,r55, , , , , , , , ,r55, , ,r55, , , , , , , , , , , , , ,r55,r55, ,r55,r55,r55,r55,r55,r55,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , , , , ,r58, , , , , , , , ,r58, , ,r58, , , , , , , , , , , , , ,r58,r58, ,r58,r58,r58,r58,r58,r58,r58,r58,s92,s93,s94,s95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, , , , , , ,r63, , , , , , , , ,r63, , ,r63, , , , , , , , , , , , , ,r63,r63, ,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g96,g57,g58,g59,g60,g61,g67, 
63, , , , , , , , , , , , , , , , , ,s97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, , , , , , ,r66, ,s98, , , , , , ,r66, ,r72,r66, , , , , , , , , , , , , ,r66,r66, ,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65, , , , , , ,r69, , , , , , , , ,r69, , ,r69, , , , , , , , , , , , , ,r69,r69, ,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , , , , , ,r70, , , , , , , , ,r70, , ,r70, , , , , , , , , , , , , ,r70,r70, ,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, , , , , , , , , , , , , , , , , ,s99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , , , , , , , , , , , , , , , , , ,s100, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , , , , , , , , , , , , , , , , , ,s101, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , , , ,s102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71, , , , , , , , , , , , , , , , , , ,s103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , , , , , , , ,s104, , , , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, , , , , , , , , , , , , , , , , , ,s105, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , , , , , , , , , , , , , , , , ,s106, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , , , , , , , , ,s107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, , , , , , , , , , ,s108, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
